epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.04005,2.67806,4.15435,2.46306,0.41097,0.15366,0.17008,0.09293,2.17517,3.69946,1.76276,0.000175,0.000175,0.000175
2,9.84177,2.06764,2.64322,1.94405,0.51847,0.32278,0.3324,0.14087,2.23725,2.35513,1.83632,0.000358911,0.000358911,0.000358911
3,13.2073,1.83401,2.03981,1.74947,0.57215,0.41196,0.48703,0.22637,2.06796,2.68085,1.8739,0.00053911,0.00053911,0.00053911
4,16.4508,1.7255,1.84731,1.66548,0.60599,0.2648,0.3389,0.16028,2.05407,6.22176,1.88684,0.000715596,0.000715596,0.000715596
5,19.7701,1.72854,1.73396,1.66575,0.74669,0.24087,0.32081,0.12046,2.2506,3.39144,2.15955,0.00088837,0.00088837,0.00088837
6,23.0815,1.77516,1.75577,1.73327,0.38534,0.35871,0.24502,0.10347,2.19829,6.07159,2.08975,0.00105743,0.00105743,0.00105743
7,26.2674,1.71539,1.67825,1.7601,0.57798,0.34201,0.3621,0.16239,2.08996,4.84025,2.19887,0.00117575,0.00117575,0.00117575
8,29.4381,1.68166,1.60481,1.69297,0.45765,0.40924,0.34768,0.16132,2.01266,3.1076,2.05121,0.00116337,0.00116337,0.00116337
9,32.6323,1.64387,1.54167,1.65439,0.54178,0.48678,0.48553,0.19535,2.03942,4.15602,2.04073,0.001151,0.001151,0.001151
10,35.7881,1.66791,1.54098,1.64792,0.60143,0.28413,0.34364,0.14061,2.29478,4.82217,2.23036,0.00113863,0.00113863,0.00113863
11,38.9706,1.61664,1.46713,1.6448,0.70738,0.44827,0.52624,0.23653,2.25794,2.67553,2.08824,0.00112625,0.00112625,0.00112625
12,42.1519,1.62521,1.43192,1.6544,0.64448,0.61667,0.65102,0.29206,2.05557,2.2738,1.90096,0.00111388,0.00111388,0.00111388
13,45.3537,1.59135,1.32131,1.59673,0.71153,0.62548,0.59906,0.29414,1.90152,2.31187,1.83199,0.0011015,0.0011015,0.0011015
14,48.568,1.57777,1.36077,1.58387,0.77202,0.52665,0.629,0.29999,1.89527,2.42999,1.84854,0.00108913,0.00108913,0.00108913
15,51.8307,1.52746,1.33899,1.54697,0.70526,0.55046,0.63888,0.31084,1.97059,1.93022,1.91904,0.00107675,0.00107675,0.00107675
16,55.0604,1.53597,1.30104,1.56297,0.7532,0.64173,0.67477,0.32046,1.83928,1.58264,1.72127,0.00106437,0.00106437,0.00106437
17,58.8678,1.45279,1.2073,1.52121,0.6616,0.53095,0.56089,0.25847,2.06989,1.90721,1.89862,0.001052,0.001052,0.001052
18,63.1999,1.44506,1.23491,1.507,0.62043,0.56074,0.59892,0.27295,1.91161,1.84126,1.80265,0.00103962,0.00103962,0.00103962
19,67.4184,1.47571,1.19154,1.53241,0.74753,0.59945,0.63099,0.26764,1.89822,1.78637,1.82888,0.00102725,0.00102725,0.00102725
20,71.7042,1.40407,1.12777,1.45953,0.75208,0.54621,0.63596,0.2807,2.01419,1.94806,1.88302,0.00101488,0.00101488,0.00101488
21,75.8491,1.43017,1.13826,1.50197,0.77107,0.51961,0.62182,0.29151,1.90659,1.84645,1.86672,0.0010025,0.0010025,0.0010025
22,80.1261,1.41231,1.0864,1.47973,0.6923,0.52479,0.5506,0.28081,1.88124,1.94708,1.78578,0.000990125,0.000990125,0.000990125
23,84.3654,1.3899,1.04115,1.47373,0.79089,0.65556,0.71055,0.35831,1.7742,1.50019,1.74529,0.00097775,0.00097775,0.00097775
24,88.3547,1.28924,0.99976,1.38711,0.7696,0.63929,0.69269,0.37884,1.75158,1.46156,1.73127,0.000965375,0.000965375,0.000965375
25,91.5264,1.36147,1.00683,1.41553,0.76607,0.59433,0.65543,0.33825,1.84674,1.55425,1.77785,0.000953,0.000953,0.000953
26,94.6532,1.34322,1.0354,1.41872,0.83061,0.53579,0.60764,0.31444,1.93049,1.40509,1.87248,0.000940625,0.000940625,0.000940625
27,97.7636,1.30372,0.99022,1.40612,0.82591,0.56031,0.64864,0.3502,1.86548,1.56857,1.79755,0.00092825,0.00092825,0.00092825
28,100.899,1.25005,0.94085,1.36947,0.74819,0.6395,0.64125,0.35425,1.92993,1.51665,1.97292,0.000915875,0.000915875,0.000915875
29,104.031,1.28124,0.90562,1.35886,0.72772,0.70663,0.71363,0.39512,1.83825,1.44507,1.75463,0.0009035,0.0009035,0.0009035
30,107.221,1.22005,0.89855,1.31159,0.73758,0.69295,0.69934,0.39353,1.78393,1.37081,1.76596,0.000891125,0.000891125,0.000891125
31,110.362,1.22237,0.86648,1.34713,0.66337,0.72149,0.72642,0.40066,1.77645,1.28235,1.70108,0.00087875,0.00087875,0.00087875
32,113.541,1.17603,0.84104,1.32089,0.76003,0.63449,0.70267,0.36609,1.83531,1.2748,1.8443,0.000866375,0.000866375,0.000866375
33,116.667,1.22499,0.87665,1.33474,0.84897,0.56389,0.69106,0.39343,1.72333,1.35017,1.64035,0.000854,0.000854,0.000854
